ID,Name,Level,Parent Name
1,Hovedkategori,0,
2,webshop,1,Hovedkategori
24,Produkter,2,webshop
25,Gulvvaskemaskine til industri,3,Produkter
423,Gulvvaskemaskiner  ledningsmodel 230v,4,Gulvvaskemaskine til industri
36,Kompakt gulvvasker,4,Gulvvaskemaskine til industri
37,Walk behind gulvvasker,4,Gulvvaskemaskine til industri
39,Ride-on gulvvasker,4,Gulvvaskemaskine til industri
225,Skuremaskine,4,Gulvvaskemaskine til industri
26,Industri Højtryksrenser,3,Produkter
40,Koldt vand højtryksrenser,4,Industri Højtryksrenser
43,Kompakt,5,Koldt vand højtryksrenser
44,Medium,5,Koldt vand højtryksrenser
45,Super,5,Koldt vand højtryksrenser
46,Special,5,Koldt vand højtryksrenser
47,Med forbrændingsmotor,5,Koldt vand højtryksrenser
41,Hedvandsrenser,4,Industri Højtryksrenser
48,Kompakt,5,Hedvandsrenser
49,Medium,5,Hedvandsrenser
50,Super,5,Hedvandsrenser
52,Special,5,Hedvandsrenser
53,Med forbrændingsmotor,5,Hedvandsrenser
335,Hedvandsrenser på gas,5,Hedvandsrenser
42,Stationær højtryksrenser,4,Industri Højtryksrenser
177,Stationær koldtvandsrenser,5,Stationær højtryksrenser
178,Stationær hedvandsrenser,5,Stationær højtryksrenser
174,Højtryksrenser med forbrændingsmotor,4,Industri Højtryksrenser
175,Koldtvandsrenser med forbrændingsmotor,5,Højtryksrenser med forbrændingsmotor
176,Hedvandsrenser med forbrændingsmotor,5,Højtryksrenser med forbrændingsmotor
179,Hotbox,4,Industri Højtryksrenser
180,Hydraulik højtryksrenser,4,Industri Højtryksrenser
236,Mobilt højtryksrenser anlæg,4,Industri Højtryksrenser
304,400+ Bars højtryksrenser,4,Industri Højtryksrenser
27,Industri Fejemaskine,3,Produkter
76,Fejemaskine manuel,4,Industri Fejemaskine
77,Fejemaskine walk-behind,4,Industri Fejemaskine
78,Fejemaskine Ride-On,4,Industri Fejemaskine
28,Støvsuger til industri,3,Produkter
82,Tæppe støvsuger,4,Støvsuger til industri
83,Erhverv støvsuger,4,Støvsuger til industri
84,Vådstøvsuger,4,Støvsuger til industri
85,Sikkerhedsstøvsuger,4,Støvsuger til industri
86,Specialsuger,4,Støvsuger til industri
138,Askesuger,4,Støvsuger til industri
140,Rygstøvsuger,4,Støvsuger til industri
327,Tagrende rengøring,4,Støvsuger til industri
29,Tæppe og damprenser,3,Produkter
30,Kompressor,3,Produkter
591,,4,Kompressor
584,,4,Kompressor
287,Lydsvag kompressor,4,Kompressor
288,Bærbar kompressor,4,Kompressor
289,Oliefri kompressor,4,Kompressor
410,Stempelkompressor,4,Kompressor
585,Olieholdige kompressorer,4,Kompressor
586,Værksteds kompressorer,4,Kompressor
587,Heavy Duty Kompressorer,4,Kompressor
588,Benzin/diesel kompressorer,4,Kompressor
589,Skruekompressorer,4,Kompressor
590,Dykker/højtryks kompressorer,4,Kompressor
592,Dental kompressorer,4,Kompressor
594,Køletørrer,4,Kompressor
595,Kompressor tilbehør,4,Kompressor
604,,5,Kompressor tilbehør
609,,5,Kompressor tilbehør
596,Oprullere,5,Kompressor tilbehør
597,,5,Kompressor tilbehør
598,Slanger,5,Kompressor tilbehør
599,Sprøjtepistoler,5,Kompressor tilbehør
600,Luftpåfyldere,5,Kompressor tilbehør
601,Blæsepistoler,5,Kompressor tilbehør
602,Professionel trykluftværktøj,5,Kompressor tilbehør
603,Olie,5,Kompressor tilbehør
605,Regulator & vandudskiller,5,Kompressor tilbehør
606,Koblinger & fittings,5,Kompressor tilbehør
607,Filterhuse og elementer,5,Kompressor tilbehør
608,Kompressorblokke,5,Kompressor tilbehør
610,Tanke,5,Kompressor tilbehør
796,Filter,5,Kompressor tilbehør
246,Sæbe og tilbehør til vask,3,Produkter
306,Sæbe til vask af transport,4,Sæbe og tilbehør til vask
251,Gulvvaske sæbe,4,Sæbe og tilbehør til vask
305,Tilbehør til vask,4,Sæbe og tilbehør til vask
297,Kemi til algebehandling og fliserens,4,Sæbe og tilbehør til vask
